"","Substrate","Species","mz"
"1","None","Substrate",0
"2","C99","Ab1_23",2777.94521701154
"3","C99","Ab1_24",2877.06655413271
"4","C99","Ab1_25",2934.11771613291
"5","C99","Ab1_26",3021.18941197111
"6","C99","Ab1_27",3135.29639429237
"7","C99","Ab1_28",3263.4663784073
"8","C99","Ab1_29",3320.53856891964
"9","C99","Ab1_30",3391.58255937981
"10","C99","Ab1_31",3504.78046017154
"11","C99","Ab1_32",3617.91377359472
"12","C99","Ab1_33",3674.96564193715
"13","C99","Ab1_34",3788.12390385143
"14","C99","Ab1_35",3919.31057526989
"15","C99","Ab1_36",4018.45569881011
"16","C99","Ab1_37",4075.48117607957
"17","C99","Ab1_38",4132.55525921465
"18","C99","Ab1_39",4231.72409635885
"19","C99","Ab1_40",4330.85887595698
"20","C99","Ab1_41",4443.97998302207
"21","C99","Ab1_42",4515.05795963252
"22","C99","Ab1_43",4616.18451588039
"23","C99","Ab1_44",4715.28938921006
"24","C99","Ab1_45",4828.4463618601
"25","C99","Ab1_46",4927.59755452644
"26","C99","Ab1_47",5040.77030930481
"27","C99","Ab1_48",5141.84531965841
"28","C99","Ab1_49",5254.99836019178
"29","C99","Ab2_23",2662.86117804979
"30","C99","Ab2_24",2761.96847740041
"31","C99","Ab2_25",2819.0376610368
"32","C99","Ab2_26",2906.13767116427
"33","C99","Ab2_27",3020.20535209653
"34","C99","Ab2_28",3148.37869248344
"35","C99","Ab2_29",3205.42073955556
"36","C99","Ab2_30",3276.48729492958
"37","C99","Ab2_31",3389.69970247547
"38","C99","Ab2_32",3502.82879663182
"39","C99","Ab2_33",3559.8957463446
"40","C99","Ab2_34",3673.04996983871
"41","C99","Ab2_35",3804.24502754407
"42","C99","Ab2_36",3903.35809549098
"43","C99","Ab2_37",3960.41546277433
"44","C99","Ab2_38",4017.50445298261
"45","C99","Ab2_39",4116.5969644922
"46","C99","Ab2_40",4215.73291856952
"47","C99","Ab2_41",4328.892783738
"48","C99","Ab2_42",4399.95850171647
"49","C99","Ab2_43",4501.0627274601
"50","C99","Ab2_44",4600.23626924988
"51","C99","Ab2_45",4713.37745759002
"52","C99","Ab2_46",4812.45538461538
"53","C99","Ab2_47",4925.67712084727
"54","C99","Ab2_48",5026.74607235984
"55","C99","Ab2_49",5139.95066482856
"56","C99","Ab3_23",2591.76374796377
"57","C99","Ab3_24",2690.8764318247
"58","C99","Ab3_25",2747.95050928921
"59","C99","Ab3_26",2835.04136637084
"60","C99","Ab3_27",2949.14649808312
"61","C99","Ab3_28",3077.30431103669
"62","C99","Ab3_29",3134.3420154952
"63","C99","Ab3_30",3205.43284177625
"64","C99","Ab3_31",3318.57192874379
"65","C99","Ab3_32",3431.71787386514
"66","C99","Ab3_33",3488.79446087328
"67","C99","Ab3_34",3601.94784007451
"68","C99","Ab3_35",3733.18280020624
"69","C99","Ab3_36",3832.29392449031
"70","C99","Ab3_37",3889.34257832881
"71","C99","Ab3_38",3946.39501053371
"72","C99","Ab3_39",4045.51782066057
"73","C99","Ab3_40",4144.67874153071
"74","C99","Ab3_41",4257.84709256471
"75","C99","Ab3_42",4328.87600298968
"76","C99","Ab3_43",4429.98079093054
"77","C99","Ab3_44",4529.13821720746
"78","C99","Ab3_45",4642.25884510266
"79","C99","Ab3_46",4741.43084077104
"80","C99","Ab3_47",4854.57418818105
"81","C99","Ab3_48",4955.68424248307
"82","C99","Ab3_49",5068.85328377176
"83","C99","Ab4_23",2462.65005166918
"84","C99","Ab4_24",2561.7806231724
"85","C99","Ab4_25",2618.83035181032
"86","C99","Ab4_26",2705.92630679731
"87","C99","Ab4_27",2820.01850510794
"88","C99","Ab4_28",2948.20838767372
"89","C99","Ab4_29",3005.24148388411
"90","C99","Ab4_30",3076.28577587241
"91","C99","Ab4_31",3189.50454082923
"92","C99","Ab4_32",3302.60599978456
"93","C99","Ab4_33",3359.68281884428
"94","C99","Ab4_34",3472.84202594628
"95","C99","Ab4_35",3604.0606168044
"96","C99","Ab4_36",3703.15225485528
"97","C99","Ab4_37",3760.22884387084
"98","C99","Ab4_38",3817.26950011839
"99","C99","Ab4_39",3916.4032011215
"100","C99","Ab4_40",4015.52386856973
"101","C99","Ab4_41",4128.71039551273
"102","C99","Ab4_42",4199.7754175192
"103","C99","Ab4_43",4300.9110071825
"104","C99","Ab4_44",4400.02935508504
"105","C99","Ab4_45",4513.1713748463
"106","C99","Ab4_46",4612.31421680688
"107","C99","Ab4_47",4725.44383639722
"108","C99","Ab4_48",4826.54973982199
"109","C99","Ab4_49",4939.7087954847
"110","C99","Ab5_23",2315.49134537338
"111","C99","Ab5_24",2414.60482352941
"112","C99","Ab5_25",2471.66740361248
"113","C99","Ab5_26",2558.75138394035
"114","C99","Ab5_27",2672.84692518101
"115","C99","Ab5_28",2801.02225461938
"116","C99","Ab5_29",2858.06921128382
"117","C99","Ab5_30",2929.16558576534
"118","C99","Ab5_31",3042.30283962841
"119","C99","Ab5_32",3155.49571061497
"120","C99","Ab5_33",3212.52167859918
